session_id,teacher_id,branch_code,year,start_time,deadline_time,status
SES_20250924_010331_CSH_2023,T001,CSH,2023,2025-09-24T01:03:31.885987,2025-09-24T01:13:31.885987,closed
SES_20251103_200842_CSH_2023,T001,CSH,2023,2025-11-03T20:08:42.240838,2025-11-03T20:18:42.240838,closed
